engine	case	quantity	status	value	note
oracle-corr	chloroform@25.0C	psat_kpa	ok	2.6204428726e+01	thermo.VaporPressure method=WAGNER_MCGARRY
oracle-corr	chloroform@25.0C	rho_liq_mol_m3	ok	1.2421616739e+04	thermo.VolumeLiquid method=DIPPR_PERRY_8E
oracle-corr	chloroform@25.0C	dhvap_kj_mol	ok	3.1295294576e+01	thermo.EnthalpyVaporization method=DIPPR_PERRY_8E
oracle-corr	chloroform@50.0C	psat_kpa	ok	6.9222970249e+01	thermo.VaporPressure method=WAGNER_MCGARRY
oracle-corr	chloroform@50.0C	rho_liq_mol_m3	ok	1.2024995200e+04	thermo.VolumeLiquid method=DIPPR_PERRY_8E
oracle-corr	chloroform@50.0C	dhvap_kj_mol	ok	3.0076291198e+01	thermo.EnthalpyVaporization method=DIPPR_PERRY_8E
oracle-corr	chloroform@61.2C	psat_kpa	ok	1.0127725205e+02	thermo.VaporPressure method=WAGNER_MCGARRY
oracle-corr	chloroform@61.2C	rho_liq_mol_m3	ok	1.1840758980e+04	thermo.VolumeLiquid method=DIPPR_PERRY_8E
oracle-corr	chloroform@61.2C	dhvap_kj_mol	ok	2.9500331937e+01	thermo.EnthalpyVaporization method=DIPPR_PERRY_8E
oracle-corr	chloroform	tboil_c	ok	6.1200000000e+01	chemicals.Tb (experimental normal boiling point)
oracle-corr	chloroform	tcrit_k	ok	5.3620000000e+02	chemicals.Tc (experimental)
oracle-corr	chloroform	pcrit_kpa	ok	5.3300000000e+03	chemicals.Pc (experimental)
oracle-unifac-corr	ethanol-water@x1=0.1	tbub_c	ok	8.5837848366e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	ethanol-water@x1=0.1	y1	ok	4.5016061544e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	ethanol-water@x1=0.1	tbub_c	ok	8.5806011985e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	ethanol-water@x1=0.1	y1	ok	4.5228038182e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	ethanol-water@x1=0.3	tbub_c	ok	8.1777019610e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	ethanol-water@x1=0.3	y1	ok	5.7014693809e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	ethanol-water@x1=0.3	tbub_c	ok	8.1739440923e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	ethanol-water@x1=0.3	y1	ok	5.7206991099e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	ethanol-water@x1=0.5	tbub_c	ok	7.9927880977e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	ethanol-water@x1=0.5	y1	ok	6.5358412713e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
