engine	case	quantity	status	value	note
feos-pcsaft	methanol-water@x1=0.3	tbub_c	ok	7.9444074968e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-water@x1=0.3	y1	ok	6.4845736615e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-water@x1=0.5	tbub_c	ok	7.4010090072e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-water@x1=0.5	y1	ok	7.7641039779e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-water@x1=0.7	tbub_c	ok	6.9874290587e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-water@x1=0.7	y1	ok	8.7299016283e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-water@x1=0.9	tbub_c	ok	6.6317375505e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-water@x1=0.9	y1	ok	9.5880690745e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-water@flash	vapour_fraction	ok	1.6048117884e-1	esper2023+rehner2023
adapter	methanol-water@x1=0.1	tbub_c	ok	8.9260704365e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	methanol-water@x1=0.3	tbub_c	ok	7.9444074968e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	methanol-water@x1=0.5	tbub_c	ok	7.4010090072e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	methanol-water@x1=0.7	tbub_c	ok	6.9874290587e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	methanol-water@x1=0.9	tbub_c	ok	6.6317375505e1	feos PC-SAFT (BRD-030 spike adapter)
kerotakis	acetone-water@x1=0.1	tbub_c	ok	6.7726548778e1	Antoine+UNIFAC
kerotakis	acetone-water@x1=0.1	y1	ok	7.3999093473e-1	Antoine+UNIFAC
kerotakis	acetone-water@x1=0.3	tbub_c	ok	6.2124487857e1	Antoine+UNIFAC
kerotakis	acetone-water@x1=0.3	y1	ok	8.0868680163e-1	Antoine+UNIFAC
kerotakis	acetone-water@x1=0.5	tbub_c	ok	5.9901735555e1	Antoine+UNIFAC
kerotakis	acetone-water@x1=0.5	y1	ok	8.3985598437e-1	Antoine+UNIFAC
kerotakis	acetone-water@x1=0.7	tbub_c	ok	5.7965745618e1	Antoine+UNIFAC
kerotakis	acetone-water@x1=0.7	y1	ok	8.7608491911e-1	Antoine+UNIFAC
kerotakis	acetone-water@x1=0.9	tbub_c	ok	5.6436009579e1	Antoine+UNIFAC
kerotakis	acetone-water@x1=0.9	y1	ok	9.3150050875e-1	Antoine+UNIFAC
kerotakis	acetone-water@flash	vapour_fraction	ok	6.6472101947e-1	Antoine+UNIFAC
feos-pcsaft	acetone-water@x1=0.1	tbub_c	ok	7.1805646539e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@x1=0.1	y1	ok	6.8698402095e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@x1=0.3	tbub_c	ok	6.4323396475e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@x1=0.3	y1	ok	7.8895680323e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@x1=0.5	tbub_c	ok	6.1386371453e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@x1=0.5	y1	ok	8.3098290882e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@x1=0.7	tbub_c	ok	5.8972339850e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@x1=0.7	y1	ok	8.7540866058e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@x1=0.9	tbub_c	ok	5.6859176171e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@x1=0.9	y1	ok	9.4026085664e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-water@flash	vapour_fraction	ok	6.5086707345e-1	esper2023+rehner2023
adapter	acetone-water@x1=0.1	tbub_c	ok	7.1805646539e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-water@x1=0.3	tbub_c	ok	6.4323396475e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-water@x1=0.5	tbub_c	ok	6.1386371453e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-water@x1=0.7	tbub_c	ok	5.8972339850e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-water@x1=0.9	tbub_c	ok	5.6859176171e1	feos PC-SAFT (BRD-030 spike adapter)
kerotakis	propan-2-ol-water@x1=0.1	tbub_c	ok	8.2355369333e1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@x1=0.1	y1	ok	5.1141564017e-1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@x1=0.3	tbub_c	ok	8.1476463006e1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@x1=0.3	y1	ok	5.3719684939e-1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@x1=0.5	tbub_c	ok	8.0618786181e1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@x1=0.5	y1	ok	5.9340632320e-1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@x1=0.7	tbub_c	ok	8.0213053513e1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@x1=0.7	y1	ok	6.9680057773e-1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@x1=0.9	tbub_c	ok	8.0964324186e1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@x1=0.9	y1	ok	8.6330197313e-1	Antoine+UNIFAC
kerotakis	propan-2-ol-water@flash	vapour_fraction	ok	0.0000000000e0	Antoine+UNIFAC
feos-pcsaft	propan-2-ol-water@x1=0.1	tbub_c	ok	8.7284310398e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@x1=0.1	y1	ok	4.1346730008e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@x1=0.3	tbub_c	ok	8.4034235854e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@x1=0.3	y1	ok	5.2093002030e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@x1=0.5	tbub_c	ok	8.2430117410e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@x1=0.5	y1	ok	6.1205963450e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@x1=0.7	tbub_c	ok	8.1570133159e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@x1=0.7	y1	ok	7.2616338456e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@x1=0.9	tbub_c	ok	8.1653471289e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@x1=0.9	y1	ok	8.8556481155e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	propan-2-ol-water@flash	vapour_fraction	unavailable		No phase split according to stability analysis.
adapter	propan-2-ol-water@x1=0.1	tbub_c	ok	8.7284310398e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	propan-2-ol-water@x1=0.3	tbub_c	ok	8.4034235854e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	propan-2-ol-water@x1=0.5	tbub_c	ok	8.2430117410e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	propan-2-ol-water@x1=0.7	tbub_c	ok	8.1570133159e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	propan-2-ol-water@x1=0.9	tbub_c	ok	8.1653471289e1	feos PC-SAFT (BRD-030 spike adapter)
kerotakis	ethanoic-acid-water@x1=0.1	tbub_c	ok	9.8685296705e1	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@x1=0.1	y1	ok	1.2283176810e-1	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@x1=0.3	tbub_c	ok	9.8908469718e1	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@x1=0.3	y1	ok	2.2933585587e-1	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@x1=0.5	tbub_c	ok	1.0062725738e2	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@x1=0.5	y1	ok	3.2590404175e-1	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@x1=0.7	tbub_c	ok	1.0436009367e2	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@x1=0.7	y1	ok	4.7122968136e-1	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@x1=0.9	tbub_c	ok	1.1167072851e2	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@x1=0.9	y1	ok	7.4415855898e-1	Antoine+UNIFAC
kerotakis	ethanoic-acid-water@flash	vapour_fraction	ok	0.0000000000e0	Antoine+UNIFAC
feos-pcsaft	ethanoic-acid-water@x1=0.1	tbub_c	ok	9.8039627526e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@x1=0.1	y1	ok	1.6186410249e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@x1=0.3	tbub_c	ok	9.6349665997e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@x1=0.3	y1	ok	3.3362652362e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@x1=0.5	tbub_c	ok	9.6502293450e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@x1=0.5	y1	ok	4.1497864814e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@x1=0.7	tbub_c	ok	9.7536739195e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@x1=0.7	y1	ok	4.7261132547e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@x1=0.9	tbub_c	ok	1.0066427087e2	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@x1=0.9	y1	ok	5.6162446619e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanoic-acid-water@flash	vapour_fraction	unavailable		No phase split according to stability analysis.
adapter	ethanoic-acid-water@x1=0.1	tbub_c	ok	9.8039627526e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	ethanoic-acid-water@x1=0.3	tbub_c	ok	9.6349665997e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	ethanoic-acid-water@x1=0.5	tbub_c	ok	9.6502293450e1	feos PC-SAFT (BRD-030 spike adapter)
